B00001P4ZH,question,0514ee34b672623dff659334a25b599b
0514ee34b672623dff659334a25b599b,text,For headphones model number 6303157 weighing maximum 3 ounces how is the bass?
0514ee34b672623dff659334a25b599b,query,"search(
	bm25_match(_asin.title==_title,'headphones',80),
	_asin.item_model_number == 6303157,
	_asin.item_weight == _item_weight, op_filter(lambda e: e['?item_weight'] <= 3),
	_asin.item_weight_units == 'ounces',
        _asin.review == _review, 
        neural_match(_review.text == _review_text,""how is the bass?"",5),
        neural_extract(_answers, _review.text == _review_text,""how is the bass?"",2)
)
"
B00001P4ZH,question,7c46670208f7bf5497480fbdbb44561a
7c46670208f7bf5497480fbdbb44561a,text,For koss brand headphones at around 30 dollars weighing maximum 3 ounces with at least 4 stars is this music song have a goo bass?
7c46670208f7bf5497480fbdbb44561a,query,"search(
	bm25_match(_asin.title==_title,'headphones',80),
	_asin.price == _price, op_filter(lambda e: abs(e['?price'] - 30) < 10),
	_asin.brand == 'koss',
	_asin.item_weight == _item_weight, op_filter(lambda e: e['?item_weight'] <= 3),
	_asin.item_weight_units == 'ounces',
	_asin.stars == _stars, op_filter(lambda e: e['?stars'] >= 4),
        _asin.review == _review, 
        neural_match(_review.text == _review_text,""is this music song have a goo bass?"",5),
        neural_extract(_answers, _review.text == _review_text,""is this music song have a goo bass?"",2)
)
"
B00001P4ZH,question,8fbf26792c438aa83178c2d507af5d77
8fbf26792c438aa83178c2d507af5d77,text,How is the bass for koss brand headphones at around 30 dollars weighing maximum 3 ounces with at least 4 stars?
8fbf26792c438aa83178c2d507af5d77,query,"search(
	bm25_match(_asin.title==_title,'headphones',80),
	_asin.price == _price, op_filter(lambda e: abs(e['?price'] - 30) < 10),
	_asin.brand == 'koss',
	_asin.item_weight == _item_weight, op_filter(lambda e: e['?item_weight'] <= 3),
	_asin.item_weight_units == 'ounces',
	_asin.stars == _stars, op_filter(lambda e: e['?stars'] >= 4),
        _asin.review == _review, 
        neural_match(_review.text == _review_text,""how is the bass?"",5),
        neural_extract(_answers, _review.text == _review_text,""how is the bass?"",2)
)
"
B00001P4ZH,question,8fbf26792c438aa83178c2d507af5d77
8fbf26792c438aa83178c2d507af5d77,text,For koss brand headphones model number 6303157 weighing maximum 3 ounces how is the bass?
8fbf26792c438aa83178c2d507af5d77,query,"search(
	bm25_match(_asin.title==_title,'headphones',80),
	_asin.brand == 'koss',
	_asin.item_model_number == 6303157,
	_asin.item_weight == _item_weight, op_filter(lambda e: e['?item_weight'] <= 3),
	_asin.item_weight_units == 'ounces',
        _asin.review == _review, 
        neural_match(_review.text == _review_text,""how is the bass?"",5),
        neural_extract(_answers, _review.text == _review_text,""how is the bass?"",2)
)
"
B00001WRSJ,question,9876fd06ed8f075fcad70d1e30e7e8be
9876fd06ed8f075fcad70d1e30e7e8be,text,How is the audio bass for headphones at around 90 dollars having minimum 3K reviews?
9876fd06ed8f075fcad70d1e30e7e8be,query,"search(
	bm25_match(_asin.title==_title,'headphones',80),
	_asin.price == _price, op_filter(lambda e: abs(e['?price'] - 90) < 10),
	_asin.total_reviews == _total_reviews, op_filter(lambda e: e['?total_reviews'] >= 3000),
        _asin.review == _review, 
        neural_match(_review.text == _review_text,""how is the audio bass?"",5),
        neural_extract(_answers, _review.text == _review_text,""how is the audio bass?"",2)
)
"
B00001WRSJ,question,16506b53e2d4c2b6a65881d9462256c2
16506b53e2d4c2b6a65881d9462256c2,text,For sony brand headphones at around 90 dollars having minimum 3K reviews why do i have an incredible sound?
16506b53e2d4c2b6a65881d9462256c2,query,"search(
	bm25_match(_asin.title==_title,'headphones',80),
	_asin.price == _price, op_filter(lambda e: abs(e['?price'] - 90) < 10),
	_asin.total_reviews == _total_reviews, op_filter(lambda e: e['?total_reviews'] >= 3000),
	_asin.brand == 'sony',
        _asin.review == _review, 
        neural_match(_review.text == _review_text,""why do i have an incredible sound?"",5),
        neural_extract(_answers, _review.text == _review_text,""why do i have an incredible sound?"",2)
)
"
B00001WRSJ,question,427de770fcd0e23b515b852bddbbeb72
427de770fcd0e23b515b852bddbbeb72,text,What did the bass became for headphones at around 90 dollars with at least 4 stars?
427de770fcd0e23b515b852bddbbeb72,query,"search(
	bm25_match(_asin.title==_title,'headphones',80),
	_asin.price == _price, op_filter(lambda e: abs(e['?price'] - 90) < 10),
	_asin.stars == _stars, op_filter(lambda e: e['?stars'] >= 4),
        _asin.review == _review, 
        neural_match(_review.text == _review_text,""what did the bass became?"",5),
        neural_extract(_answers, _review.text == _review_text,""what did the bass became?"",2)
)
"
B00001WRSJ,question,f72bd17ec3449293ec59310597dea8a8
f72bd17ec3449293ec59310597dea8a8,text,How is the quality of the bass for sony brand headphones having minimum 3K reviews?
f72bd17ec3449293ec59310597dea8a8,query,"search(
	bm25_match(_asin.title==_title,'headphones',80),
	_asin.total_reviews == _total_reviews, op_filter(lambda e: e['?total_reviews'] >= 3000),
	_asin.brand == 'sony',
        _asin.review == _review, 
        neural_match(_review.text == _review_text,""how is the quality of the bass?"",5),
        neural_extract(_answers, _review.text == _review_text,""how is the quality of the bass?"",2)
)
"
B00001WRSJ,question,aa99f9b7fe9fe9c921bc2f963cb22121
aa99f9b7fe9fe9c921bc2f963cb22121,text,For sony brand headphones with at least 4 stars having minimum 3K reviews what is the tonal balance of these headphones?
